university_province,university,name
ZA-LP,MSC Business College,Polokwane
ZA-EC,MSC Business College,Port Elizabeth
ZA-GT,MSC Business College,Pretoria
ZA-EC,MSC Business College,Queenstown
ZA-NW,MSC Business College,Rustenburg
ZA-EC,MSC Business College,Uitenhage
ZA-MP,Mukhanyo Theological College NPC, KwaMhlanga
ZA-GT,Mukhanyo Theological College NPC,Braamfontein
ZA-NL,Mukhanyo Theological College NPC,Pinetown
ZA-GT,Mukhanyo Theological College NPC,Pretoria
ZA-NW,Mukhanyo Theological College NPC,Rustenburg
ZA-GT,Nazarene Theological College,Honeydew
ZA-GT,Netcare  Education (Pty Ltd),Auckland Park
ZA-WC,Netcare  Education (Pty Ltd),Bellville
ZA-NL,Netcare  Education (Pty Ltd),Durban
ZA-EC,Netcare  Education (Pty Ltd),Port Elizabeth
ZA-GT,Netcare  Education (Pty Ltd),Pretoria
ZA-GT,Netcare  Education (Pty Ltd)  Head office,Sandton
ZA-GT,Oakfields College (Pty) Ltd,Edenvale
ZA-GT,Oakfields College (Pty) Ltd,Pretoria
ZA-WC,Oakfields College (Pty) Ltd,Somerset West
ZA-GT,Open Learning Group (distance only),Randburg
ZA-GT,Open Window (Pty) Ltd,Centurion
ZA-WC,Optimi College (Pty) Ltd T/A College SA,Cape Town
ZA-FS,Pearson Instittute of Higher Education, Bloemfontein
ZA-GT,Pearson Instittute of Higher Education, Pretoria
ZA-GT,Pearson Instittute of Higher Education,Bedfordview
ZA-WC,Pearson Instittute of Higher Education,Cape Town
ZA-WC,Pearson Instittute of Higher Education,Durbanville
ZA-EC,Pearson Instittute of Higher Education,East London
ZA-GT,Pearson Instittute of Higher Education,Midrand
ZA-MP,Pearson Instittute of Higher Education,Nelspruit
ZA-EC,Pearson Instittute of Higher Education,Port Elizabeth
ZA-NW,Pearson Instittute of Higher Education,Potchefstroom
ZA-NL,Pearson Instittute of Higher Education,Umhlanga
ZA-GT,Pearson Instittute of Higher Education,Vanderbijlpark
ZA-GT,PM Academy,Edenvale
ZA-NW,Potchefstroom Academy,Potchefstroom
ZA-GT,Private Hotel School (Part of ADvTech Group),Rosebank
ZA-WC,Private Hotel School (Part of ADvTech Group),Stellenbosch
ZA-GT,Pro-Active Public Services College (Pty) Ltd  ,Pretoria
